代號,名稱,發行量(股)
2330,台積電,25940000
2317,鴻海,13860000
2454,聯發科,1599000
2382,廣達,3863000
2881,富邦金,13020000
2412,中華電,7757000
2308,台達電,2598000
2882,國泰金,14670000
2891,中信金,19620000
3711,日月光投控,4395000
2303,聯電,12530000
6505,台塑化,9526000
2886,兆豐金,14400000
6669,緯穎,174800
1216,統一,5682000
2884,玉山金,15660000
2885,元大金,12690000
1303,南亞,7931000
3045,台灣大,3723000
1301,台塑,6366000
5880,合庫金,14710000
2892,第一金,13620000
3034,聯詠,608500
2357,華碩,742800
2002,中鋼,15730000
2207,和泰車,557100
2880,華南金,13640000
3008,大立光,133500
3231,緯創,2897000
2345,智邦,560600
2395,研華,860400
4904,遠傳,3606000
4938,和碩,2664000
1326,台化,5861000
2890,永豐金,12390000
2327,國巨,423200
2379,瑞昱,512900
8069,元太,1144000
2912,統一超,1040000
3017,奇鋐,383300
3037,欣興,1525000
2615,萬海,2806000
1101,台泥,7551000
2883,開發金,16830000
6488,環球晶,478100
2301,光寶科,2348000
1519,華城,261100
2887,台新金,12480000
3661,世芯-KY,79200
1590,亞德客-KY,200000
3443,創意,134000
2408,南亞科,3099000
6415,矽力*-KY,385000
3529,力旺,74700
2376,技嘉,635700
2356,英業達,3588000
3533,嘉澤,111900
2618,長榮航,5400000
1402,遠東新,5353000
5347,世界,1639000
5274,信驊,37800
2633,台灣高鐵,5628000
3293,鈊象,140900
5269,祥碩,74700
2105,正新,3241000
2383,台光電,344300
6409,旭隼,87700
9910,豐泰,987500
2324,仁寶,4407000
2474,可成,680400
3653,健策,142900
2353,宏碁,3048000
2377,微星,844900
1605,華新,4031000
1102,亞泥,3547000
1476,儒鴻,274400
2385,群光,760100
2888,新光金,15490000
3702,大聯大,1679000
6239,力成,759100
1503,士電,521000
2347,聯強,1668000
9945,潤泰新,2844000
8299,群聯,204800
3036,文曄,1116000
8046,南電,646200
1504,東元,2139000
3481,群創,9079000
5483,中美晶,586200
2360,致茂,425400
2449,京元電子,1223000
4958,臻鼎-KY,947000
2059,川湖,95300
3044,健鼎,525600
1229,聯華,1584000
8464,億豐,293000
2344,華邦電,4180000
8454,富邦媒,240300
6176,瑞儀,465000
2542,興富發,1884000
2354,鴻準,1414000
2812,台中銀,5226000
1513,中興電,503100
1477,聚陽,241900
9958,世紀鋼,256900
2027,大成鋼,2434000
9941,裕融,548200
3035,智原,260600
2540,愛山林,416599
6472,保瑞,101600
6121,新普,185000
2915,潤泰全,1104000
6285,啟碁,485300
2352,佳世達,1967000
2049,上銀,353800
2201,裕隆,1070000
3324,雙鴻,90900
4763,材料-KY,86300
3406,玉晶光,112700
4966,譜瑞-KY,81199
9914,美利達,299000
2204,中華,553600
3023,信邦,240000
1319,東陽,591500
3005,神基,611800
5522,遠雄,781600
2809,京城銀,1111000
2404,漢唐,190600
3105,穩懋,423900
2845,遠東銀,4070000
1722,台肥,980000
6592,和潤企業,566500
2539,櫻花建,857099
2211,長榮鋼,417100
2206,三陽工業,797500
6531,愛普*,162200
2492,華新科,485800
9917,中保科,451200
2504,國產,1180000
6412,群電,399000
3706,神達,1207000
1802,台玻,2908000
6139,亞翔,233000
5904,寶雅,103500
5434,崇越,188700
6781,AES-KY,85399
6005,群益證,2171000
2889,國票金,3447000
3665,貿聯-KY,163400
2637,慧洋-KY,746400
1808,潤隆,451000
2451,創見,429099
4919,新唐,419799
2548,華固,276800
1210,大成,894800
6147,頎邦,744700
4915,致伸,462900
6223,旺矽,94200
2006,東和鋼鐵,730200
2923,鼎固-KY,1740000
3376,新日興,187700
2634,漢翔,941900
1907,永豐餘,1660000
2458,義隆,303900
2337,旺宏,1856000
3374,精材,271400
2606,裕民,845100
6274,台燿,272000
6414,樺漢,137000
2903,遠百,1417000
8996,高力,89800
5508,永信建,217399
8112,至上,520100
1560,中砂,144100
2363,矽統,749599
4766,南寶,120600
6643,M31,34800
5903,全家,223200
2015,豐興,581600
3189,景碩,454400
3030,德律,236200
6213,聯茂,363000
3680,家登,94300
2392,正崴,512299
2530,華建,840000
1609,大亞,736800
9933,中鼎,809200
2855,統一證,1456000
1773,勝一,250000
6605,帝寶,165799
6548,長科*,950500
2501,國建,1160000
6670,復盛應用,134000
1227,佳格,915100
1314,中石化,3785000
1434,福懋,1685000
6257,矽格,464600
3131,弘塑,29200
3042,晶技,309800
8210,勤誠,120600
8415,大國鋼,1032000
3264,欣銓,490200
6491,晶碩,78000
3596,智易,220400
1514,亞力,261900
2362,藍天,632300
2597,潤弘,185000
4123,晟德,716300
2441,超豐,568800
8070,長華*,689400
6515,穎崴,34800
8926,台汽電,730300
6214,精誠,272300
5534,長虹,290300
6278,台表科,292400
2607,榮運,1067000
8016,矽創,120100
2329,華泰,560300
3010,華立,250799
8478,東哥遊艇,88900
3260,威剛,295900
6191,精成科,474300
