ticker,average_turnover
1101,644027988.0501931
1102,255566907.94594595
1210,138122001.07335907
1216,650442807.6679536
1301,585890591.96139
1303,465927045.5637066
1314,167958653.53667954
1319,683453996.2046332
1326,254155269.1853282
1402,216664398.84169888
1476,377823149.7606177
1477,841225787.8030888
1503,2316248112.6640925
1504,936173660.2200772
1513,3874005093.841698
1514,1811373417.8494208
1519,4338656796.057915
1560,889405832.5328186
1590,645314775.1583011
1605,909776764.4826256
1609,1479542102.7799227
1722,148561706.77606177
1795,1973724764.5096529
1802,212655966.34362933
1808,202721232.1930502
1907,151931927.87258688
2002,655763069.9266409
2006,131583271.25868726
2027,314581384.73745173
2049,426268996.6756757
2059,1578185783.3359072
2101,290165551.1737452
2105,394502583.0386101
2201,639845586.3861004
2204,493836685.1583012
2206,677562686.0501931
2207,191756380.62934363
2211,216729974.8764479
2301,3668245504.891892
2303,3033443461.3706565
2308,3089759404.1621623
2313,1858632238.4787643
2317,8344874433.046332
2324,1331419024.2972972
2327,1364019720.5212357
2329,1610255503.4440155
2330,22948975733.48649
2337,313745975.44401544
2344,886067714.2509652
2345,1854653049.2162163
2347,368938106.2934363
2352,627128957.6911197
2353,1920217268.3590732
2354,823254558.8996139
2356,2985650968.6370654
2357,2401296066.216216
2360,692632574.3783784
2362,205815328.96139
2363,2281987800.011583
2368,2143342262.6447875
2371,2266039718.03861
2376,6673614814.637066
2377,983079616.992278
2379,1633879825.7065637
2382,12269052800.50193
2383,2857630925.644788
2385,830055462.938224
2388,2385870495.4517374
2392,272826848.3320464
2395,406532015.3243243
2404,579250692.1003861
2408,952469497.100386
2409,754940893.0231661
2412,985115207.911197
2449,1612448935.3436294
2451,107018732.15830116
2454,6997035459.826255
2458,448694660.4633204
2474,492370638.23552126
2492,475518384.2200772
2498,352149900.2664093
2501,263868445.6872587
2504,218485547.69498068
2540,130925370.56370656
2542,217473824.16216213
2548,229836154.13513517
2603,5593993832.444016
2606,542623440.7297298
2607,133028972.58301158
2609,3407061898.888031
2610,1303844602.872587
2615,1200428799.3938224
2618,3220362381.2664094
2633,104606837.43629344
2634,863538859.8803089
2637,401071757.5444015
2801,228904538.96525097
2809,164490928.5984556
2834,270068102.5212355
2880,292648292.93050194
2881,989714561.918919
2882,1002027967.3552125
2883,603028101.8918918
2884,547798906.945946
2885,506859065.6061776
2886,707146163.7027028
2887,288121893.027027
2888,452099042.980695
2890,375511218.6640927
2891,1316433061.5289576
2892,399316899.003861
2912,270223924.36293435
2915,209497946.7876448
3005,1010925152.3706564
3008,1789642595.80695
3010,126335134.70656373
3017,6525779687.050193
3023,233158845.15057915
3030,208595442.4208494
3034,2535919726.8339767
3035,5468171993.644788
3036,1373744642.111969
3037,3272929932.4942083
3042,322350088.63320464
3044,1410343943.8841698
3045,418343760.1158301
3105,749935817.8294574
3131,742820406.9767442
3189,347374367.4285714
3231,10638693731.988417
3260,1091533542.635659
3264,488224251.93798447
3293,1034610647.2868216
3324,3676113313.953488
3362,750684511.6279069
3374,495962693.7984496
3376,1017358949.5289576
3406,959955017.3436294
3443,5733516935.339768
3481,1185987111.4404762
3529,1423690224.8062017
3532,264441029.011583
3533,1367813526.19305
3596,464434119.6177606
3653,964196245.4864864
3661,7231695265.810811
3665,517587225.4362934
3680,707478670.5426357
3702,588329866.7451737
3706,1130212161.895753
3711,1882760167.8532815
4123,171576468.99224806
4743,545168860.4651163
4763,3303172855.644788
4766,179170071.93050194
4904,426600805.8610039
4915,362750389.0965251
4919,443810214.3011583
4938,946928435.7644788
4958,551681207.2664093
4966,1334081841.0852714
5269,1813334489.4092665
5274,1370455127.9069767
5347,1000137449.6124032
5371,489936891.4728682
5434,196305557.2586873
5483,1058230627.9069768
5508,237564775.19379845
5522,117226776.68339768
5534,135270594.57142857
5871,923917318.019305
5876,237553621.8996139
5880,255506757.33204636
5904,149718949.6124031
6005,155316840.91119692
6121,482357720.9302326
6139,1397601095.19305
6147,361297624.03100777
6176,546326945.8764479
6191,344003159.33976835
6213,723396643.6254827
6214,144101719.85328186
6223,1065715209.3023256
6239,820457315.7258687
6257,302907757.6216216
6274,2111863860.4651165
6278,231799606.73359072
6285,1418673092.328185
6409,298778536.5868726
6412,136459473.33976835
6414,601749298.2664093
6415,1329043132.2200773
6446,784504620.7395834
6472,1611004321.3032787
6488,906248550.3875968
6491,346405808.8416988
6505,195327470.84169888
6515,763762231.8610039
6531,2177301217.050193
6592,107461886.84555984
6605,215769780.6023166
6643,1463392310.0775194
6669,5237718501.324325
6781,271056050.03474903
8016,425114171.2239382
8046,983727477.6718148
8069,1478000341.0852714
8070,102112655.4980695
8112,696078333.9034749
8210,1762938091.054054
8299,1428641461.2403102
8454,377434627.6061776
8464,176462108.8108108
8478,605707720.1891892
8926,153065688.99227798
8996,1746733650.4864864
9904,280472959.3976834
9910,286125180.2162162
9914,208781660.82239383
9921,396352414.034749
9933,117446274.64478764
9939,139212207.05791506
9941,182172099.1467181
9945,360211340.765873
9958,1502525395.1505792
