代號,名稱,dividend_yield
8046,南電,9.68
2637,慧洋-KY,9.56
8016,矽創,8.47
6147,頎邦,8.2
1402,遠東新,7.66
1301,台塑,7.3
2303,聯電,6.46
6121,新普,6.46
3034,聯詠,6.11
1303,南亞,6.09
3042,晶技,6.09
6278,台表科,5.83
2548,華固,5.49
4919,新唐,5.47
2454,聯發科,5.41
2606,裕民,5.38
6257,矽格,5.34
8070,長華*,5.29
9933,中鼎,5.28
6176,瑞儀,5.28
1102,亞泥,5.25
2352,佳世達,5.21
3711,日月光投控,5.1
2006,東和鋼鐵,5.03
5534,長虹,5.02
2027,大成鋼,5.01
5522,遠雄,4.97
3264,欣銓,4.96
2379,瑞昱,4.95
4938,和碩,4.88
2451,創見,4.87
1605,華新,4.79
2504,國產,4.64
4958,臻鼎-KY,4.63
2301,光寶科,4.62
3702,大聯大,4.57
8112,至上,4.52
9910,豐泰,4.45
3037,欣興,4.44
2002,中鋼,4.33
6412,群電,4.32
2474,可成,4.31
2201,裕隆,4.19
2385,群光,4.15
4915,致伸,4.14
2404,漢唐,4.04
6214,精誠,4.02
3596,智易,4.01
3010,華立,4.01
